"新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"新豐鄉危險路段設置路燈及反射鏡(19-16)","新豐鄉","90","90","一般建築及設備其它","公共設施工程","新豐鄉公所","開口契約","秀星興"
"新豐鄉民俗技藝推展協會充實設備(19-17)","新豐鄉","85","85","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"新豐鄉元極舞推廣協會充實設備(19-18)","新豐鄉","80","80","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"新竹縣新豐鄉山崎國民小學充實設備(19-19)","新豐鄉","30","30","一般建築及設備其它","公共設施工程","新豐鄉公所","無","和進電器水電行"
"新豐鄉山崎社區發展協會充實設備(19-20)","新豐鄉","98","98","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"新豐鄉長青環保協會充實設備(19-21)","新豐鄉","50","50","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"新竹縣新豐鄉松林國民小學充實設備(19-22)","新豐鄉","21","21","一般建築及設備其它","公共設施工程","新豐鄉公所","逕洽廠商","宏睿電腦"
"新埔鎮寶石區路燈3盞工程(23-46)","新埔鎮","60","60","一般建築及設備其它","公共設施工程","新埔鎮公所","有","文明水電"
"橫山鄉田寮村田洋街1鄰道路紐澤西護欄油漆工程(27-","4","橫山鄉","60","60","一般建築及設備其它","公共設施工程","橫山鄉公所","無","連億開發"
"新竹縣竹東鎮原住民家庭文化成長協會充實設備(39-","1","竹東鎮","70","70","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","東鑫電器"
"竹北市體育會(青少年足球委員會)充實設備費(2-","34)","竹北市","40","40","一般建築及設備其它","公共設施工程","竹北市公所","無","辦理中"
"新豐鄉坪頂屋頂福德宮發展協會充實設備(20-13)","新豐鄉","90","90","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"第 8 頁，共 16 頁新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"(本表為半年報)"
"核定情形","建議地點建議金額","建議項目及內容"
"關西鎮東安竹28-1線邊排水改善工程(21-17)","關西鎮","200","200","一般建築及設備其它","公共設施工程","關西鎮公所","無","辦理中"
"新埔鎮寶石里文德路2段377巷農路邊坡復建工程","(25-49)","新埔鎮","50","50","一般建築及設備其它","公共設施工程","新埔鎮公所","無","辦理中"
"新竹縣五峰鄉泰雅族永續發展協會充實設備費(37-","11)","五峰鄉","100","100","一般建築及設備其它","公共設施工程","五峰鄉公所","無","辦理中"
"尖石鄉玉峰村6鄰部落農路工程(38-16)","尖石鄉","98","98","一般建築及設備其它","公共設施工程","尖石鄉公所","無","辦理中"
"尖石鄉義興村水泥路面及排水設施工程(1-28)","尖石鄉","200","200","一般建築及設備其它","公共設施工程","尖石鄉公所","無","辦理中"
"新埔鎮裦忠路353巷路燈裝設工程(2-35)","新埔鎮","200","200","一般建築及設備其它","公共設施工程","新埔鎮公所","有","文明水電"
"新豐鄉松柏社區發展協會購置設備(17-29)","新豐鄉","20","20","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"新豐鄉長青環保協會購置設備(17-30)","新豐鄉","30","30","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"尖石鄉梅花村10鄰路燈工程(27-43)","尖石鄉","25","25","一般建築及設備其它","公共設施工程","尖石鄉公所","無","辦理中"
"新竹縣立仁愛國民中學充實設備費(6-12)","竹北市","90","90","一般建築及設備其它","公共設施工程","竹北市公所","逕洽廠商","欣河資訊"
"新埔鎮旱坑里旱坑路1段82巷23號前新設路燈1盞","(25-50)","新埔鎮","20","20","一般建築及設備其它","公共設施工程","新埔鎮公所","有","文明水電"
"新埔鎮旱坑里旱坑路1段283巷新設路燈1盞(25-51)","新埔鎮","20","20","一般建築及設備其它","公共設施工程","新埔鎮公所","有","文明水電"
"尖石鄉義興村9鄰馬胎80號周邊農路鋪設水泥路面","工程(38-17)","尖石鄉","95","95","一般建築及設備其它","公共設施工程","尖石鄉公所","無","辦理中"
"新埔鎮旱坑里旱北路418巷路燈1盞工程(23-47)","新埔鎮","20","20","一般建築及設備其它","公共設施工程","新埔鎮公所","有","文明水電"
"新竹縣竹東鎮竹東國民小學增設冷氣設備壹台(31-","16)","竹東鎮","80","80","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","東鑫電器"
"竹東鎮體育會槌球委員會設備費(33-18)","竹東鎮","95","95","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","上進企業"
"社團法人新竹縣盲人福利協進會充實設備(9-9)","新埔鎮","98","98","一般建築及設備其它","公共設施工程","新埔鎮公所","無","退回"
"新豐鄉後湖村11鄰小型工程(18-32)","新豐鄉","8","8","一般建築及設備其它","公共設施工程","新豐鄉公所","開口契約","佶帝企業"
"第 9 頁，共 16 頁新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"(本表為半年報)"
"核定情形","建議地點建議金額","建議項目及內容"
"新豐鄉重興村水溝加蓋工程(18-33)","新豐鄉","35","35","一般建築及設備其它","公共設施工程","新豐鄉公所","無","梅舟企業"
